PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate,Notes
P35,Q11_describe,yes,Transparency & QA,General transparency issues,,N,Manually coded
P35,Q12_challenges,"Fairness and Bias
One of the most significant challenges in data labeling is ensuring that the work is fair and unbiased. When annotating content for AI models, there’s a risk of inadvertently reinforcing bias. For example, if data is labeled based on human judgments or cultural assumptions, it might skew the model to be more biased toward one group over another. The responsibility of making sure that every dataset is as unbiased as possible would be on the annotator, but the guidelines for labeling might not always provide clarity on how to navigate complex situations.",Task Design & Time Pressure,Instruction clarity issues,task_complexity; guideline_issues,Y,Manually coded
P35,Q13_improvements,"Clearer Guidelines and Support:

Platforms should offer more transparent and consistent rules for labeling tasks, with examples to clarify ambiguous cases.

Implementing quality checks or real-time feedback would help annotators understand where they may be going wrong and improve without feeling lost.

Fair Compensation:

Pay should be better aligned with the complexity and emotional toll of the work. Tasks requiring more time or cognitive effort should be paid more.

Instead of paying per task, offering hourly wages with a minimum rate could help make compensation more stable.

Offering bonuses for accurate or efficient work would also motivate high-quality performance while providing a fair pay structure.

Mental Health Resources:

Platforms should implement mental health support for workers, such as counseling or therapy services, especially for those dealing with disturbing content.

There could be warnings or filters for emotionally taxing tasks, and the option to “opt out” of certain types of content without penalty.

Transparency and Communication:

Platforms should provide more transparency about how tasks are used and how annotators’ work contributes to the bigger picture. Knowing the impact of their work can help people feel more valued.

Communication with workers could be more open. If a task is rejected or a mistake happens, workers should be given clear feedback and have the chance to appeal if necessary.

Workplace Community:

Fostering a community of annotators, perhaps through forums or chat groups, could help workers share insights, vent frustrations, and get tips. This would help reduce the isolation of remote, freelance data labeling jobs.

Better Task Selection:

Giving workers more choice over what kind of tasks they take on—perhaps based on the content or the complexity—would allow them to select work they feel more comfortable with or are more skilled at.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,Y,Manually coded
P36,Q7_explain,"The tasks are relatively quick or easy compared to the amount paid.
You can do them in flexible hours, possibly stacking with other income streams.",Compensation & Economic Security,General compensation issues,,Y,Manually coded
P36,Q9_followup,"A task I spent time on was rejected without a clear reason. It doesn’t happen often, but when it does, the platform offers little support and no real way to appeal. I wasn’t able to dispute it or get paid",Support & Dispute Resolution,Appeal process issues,support_issues; appeal_process,N,Systematically coded
P36,Q10_effects,"Emotionally, it could be unsettling or draining, especially when it was unexpected or frequent. It sometimes made it harder to focus or feel motivated.",Content Exposure & Emotional Load,Mental and emotional impact,emotionally_draining,N,Systematically coded
P36,Q11_describe,"The platform is often unclear about key aspects of the work. Task acceptance criteria aren’t always explained, so it's hard to know why a task is rejected or accepted. The rating systems can feel inconsistent, and sometimes it’s not clear how ratings are calculated or how they affect future opportunities.",Transparency & QA,Rating system issues,unclear_processes; unclear_criteria; rating_issues; clear_processes,Y,Manually coded
P36,Q12_challenges,"he biggest challenges are unclear task rules, unfair rejections, and lack of transparency. Disturbing content can cause emotional strain, and there’s little support or way to dispute decisions. It often feels like the platform prioritizes speed over worker well-being.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay,Y,Manually coded
P36,Q13_improvements,"lear guidelines, fair and timely pay, better support for dealing with tough content, and a simple appeal process would make data labeling work fairer and more respectful. Improved communication and transparency would also help.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P37,Q7_explain,"Stability: If the pay is unpredictable, like being dependent on the volume of tasks or fluctuating demand, that could add stress and make it difficult to rely on it for consistent income. Inconsistent or delayed payments could make it even harder to meet regular expenses.",Compensation & Economic Security,Payment volatility,inconsistent_payment,Y,Manually coded
P37,Q9_followup,"Ah, I see now! You’re referring to a specific experience with a task rejection or going unpaid.

If you’ve had this happen, it can definitely feel frustrating. Usually, when a task gets rejected or you’re not paid for completed work, the platform should ideally give you a clear reason. Sometimes, it could be due to errors in the way the task was completed, like missing a specific instruction or misunderstanding the requirements. Other times, platforms might have vague rejection reasons that don’t give much feedback.

Did they provide any explanation for the rejection, or were you just left in the dark? Was there any opportunity to appeal or dispute the decision? It can be tough if you feel like there’s no way to challenge or fix an issue that you may not have fully understood at the time.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; feedback_issues; clear_processes,Y,Systematically coded
P37,Q10_effects,"Emotional exhaustion: Constant exposure to disturbing content could lead to a kind of emotional burnout where the weight of the content feels overwhelming.

Desensitization: On the flip side, prolonged exposure might lead to desensitization, where it becomes harder to react emotionally or see the gravity of certain content, which can have its own consequences.

Mental fatigue: It could also affect focus or mental clarity, making it harder to perform the work accurately and effectively, which might lead to mistakes or missed details.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; mental_impact,Y,Systematically coded
P37,Q11_describe,yes,Transparency & QA,General transparency issues,,N,Manually coded
P37,Q12_challenges,"Platform Usability and Confusing Rules
The platforms that offer data annotation jobs often come with poorly designed user interfaces or confusing, inconsistent guidelines. If I were working on a platform like this, unclear instructions could lead to frustration or mistakes. The work might also feel like a ""black box,"" with little insight into how my tasks are being used or evaluated in the bigger picture.",Transparency & QA,Data usage transparency,unclear_processes; black_box_process; clear_processes,Y,Manually coded
P37,Q13_improvements,"Clearer Guidelines and Support:

Platforms should offer more transparent and consistent rules for labeling tasks, with examples to clarify ambiguous cases.

Implementing quality checks or real-time feedback would help annotators understand where they may be going wrong and improve without feeling lost.

Fair Compensation:

Pay should be better aligned with the complexity and emotional toll of the work. Tasks requiring more time or cognitive effort should be paid more.

Instead of paying per task, offering hourly wages with a minimum rate could help make compensation more stable.

Offering bonuses for accurate or efficient work would also motivate high-quality performance while providing a fair pay structure.

Mental Health Resources:

Platforms should implement mental health support for workers, such as counseling or therapy services, especially for those dealing with disturbing content.

There could be warnings or filters for emotionally taxing tasks, and the option to “opt out” of certain types of content without penalty.

Transparency and Communication:

Platforms should provide more transparency about how tasks are used and how annotators’ work contributes to the bigger picture. Knowing the impact of their work can help people feel more valued.

Communication with workers could be more open. If a task is rejected or a mistake happens, workers should be given clear feedback and have the chance to appeal if necessary.

Workplace Community:

Fostering a community of annotators, perhaps through forums or chat groups, could help workers share insights, vent frustrations, and get tips. This would help reduce the isolation of remote, freelance data labeling jobs.

Better Task Selection:

Giving workers more choice over what kind of tasks they take on—perhaps based on the content or the complexity—would allow them to select work they feel more comfortable with or are more skilled at.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,Y,Manually coded
P38,Q7_explain,"Honestly speaking, the pay doesn’t always match the effort. Some tasks take a lot of time to understand and complete carefully, but the payment ends up being really low especially when you break it down hourly. Overall, it feels like a lot of work for not much reward, and the pay is pretty unpredictable.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P38,Q9_followup,"Yes, I’ve had tasks rejected a few times, and it’s really frustrating especially when I felt like I followed the instructions exactly. Sometimes no reason is given at all, or it's just a vague note like low quality without explaining what was wrong. Sometimes I sent email but they not response.",Task Design & Time Pressure,Instruction clarity issues,time_constraints; instruction_issues,N,Systematically coded
P38,Q10_effects,"I’ve come across content that was violent like images of injuries.  Even if it’s part of the task, it can be really hard to process emotionally, especially when I'm doing this work for hours. Sometimes abuse related text that was very disturbing.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; violent_content,Y,Systematically coded
P38,Q11_describe,"Some platforms provide a general idea of how tasks are reviewed or paid. I usually understand the basic rules, but there are times when a task gets rejected or a score drops without a clear explanation. I think need more transparency. Because It would definitely help build trust",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P38,Q12_challenges,I think the biggest challenges is the lack of feedback. Because timely feedback when tasks are rejected would help us improve and feel valued. Dealing with disturbing content without warnings is emotionally hard.,Transparency & QA,General transparency issues,feedback_issues,Y,Manually coded
P38,Q13_improvements,"Platforms should be more transparent about how work is reviewed and pay is determined. Clear, timely feedback when tasks are rejected would help us improve and feel valued.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P39,Q7_explain,", Payment, and Pay Stability",Compensation & Economic Security,General compensation issues,,N,Manually coded
P39,Q9_followup,permanent shutdowns or disabling of large,Support & Dispute Resolution,,,N,Systematically coded
P39,Q10_effects,"avoid generating potentially harmful content, which can be categorized as disturbing or offensive.",Content Exposure & Emotional Load,Rating system issues,rating_issues,N,Systematically coded
P39,Q11_describe,provide information based on its design principles and capabilities as a virtual assistant.,Transparency & QA,General transparency issues,,N,Manually coded
P39,Q12_challenges,"t challenges and ethical concerns data annotators face, categorized for clarity:",Compensation & Economic Security,General compensation issues,,N,Manually coded
P39,Q13_improvements,Implementing a transparent and fair payment structure th,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P40,Q7_explain,"When assessing tasks, consider the time and effort required, compare potential compensation across different tasks, and evaluate the perceived stability of payment. Understanding these factors can help individuals make informed decisions about their work and financial well-being.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P40,Q9_followup,"Chargebacks, where a customer disputes a credit or debit card transaction, are a common occurrence for businesses. Merchants can win some chargeback disputes, but many are lost.",Support & Dispute Resolution,,,N,Systematically coded
P40,Q10_effects,NO,Content Exposure & Emotional Load,,,N,Systematically coded
P40,Q11_describe,"the clarity of task descriptions and acceptance criteria, the transparency of the rating system and how it is used, the user-friendliness of the platform's design, and the explicitness of the payment structure",Transparency & QA,Rating system issues,unclear_criteria; rating_issues,Y,Manually coded
P40,Q12_challenges,"Data annotation, while crucial for AI development, presents several ethical challenges. These include concerns about privacy, bias, and the potential for exploitation of annotators",Compensation & Economic Security,General compensation issues,,Y,Manually coded
P40,Q13_improvements,"ensuring fair and consistent pay, providing clear and consistent instructions, offering opportunities for skill development, and promoting transparency in the work process",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P41,Q7_explain,it feels stable payment are satisfied,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P41,Q9_followup,sometimes it rejected,Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P41,Q10_effects,no,Content Exposure & Emotional Load,,,N,Systematically coded
P41,Q11_describe,Its very clear,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P41,Q12_challenges,none,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P41,Q13_improvements,feel free to suggest  no need changes,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P42,Q7_explain,good,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P42,Q12_challenges,none,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P42,Q13_improvements,none,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P43,Q11_describe,good,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P43,Q12_challenges,"One major challenge as a data annotator is dealing with vague or inconsistent guidelines, which can create confusion and lead to unfair evaluations or rejected work. Additionally, the emotional strain of labeling sensitive or disturbing content without proper support can take a serious toll over time.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay; inconsistent_payment,Y,Manually coded
P43,Q13_improvements,"Data labeling work would be more fair and sustainable if platforms provided clearer guidelines, consistent feedback, and guaranteed minimum pay for time spent—even on rejected tasks. Improved communication, mental health support, and greater transparency around how annotations are used would also help workers feel more respected and valued.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P44,Q7_explain,"I think I average about  10–15 hours a week. This is my side hustle, so that's the perfect balance for me.",Compensation & Economic Security,Positive compensation experience,stable_fair_pay,Y,Manually coded
P44,Q9_followup,"Actually I dont know. May be my fault , or task done but time over but unable to submit the code into Mturk.",Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P44,Q10_effects,"I think as a data labeler or content moderator, encountering disturbing or harmful content is unfortunately a common aspect of the job. The nature of the content can vary widely, but many workers have reported exposure to graphic violence, child abuse, self-harm, and other traumatic material.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,Y,Systematically coded
P44,Q11_describe,"I think overall, many data labeling platforms exhibit low to moderate transparency regarding task review processes, compensation, and usage of workers' contributions. While some platforms are making efforts to improve, workers often face challenges related to unclear communication, inconsistent task availability, and delayed or withheld payments.",Transparency & QA,Data usage transparency,unclear_processes,Y,Manually coded
P44,Q12_challenges,"I think as a data annotator, several ethical challenges have emerged, reflecting broader issues in the field. One significant concern is the potential for emotional strain due to exposure to disturbing or harmful content, which can lead to psychological distress. Additionally, the lack of transparency regarding task acceptance criteria, rating systems, and payment rules can create confusion and mistrust among workers. Furthermore, the pressure to meet quotas and the absence of adequate support mechanisms can contribute to burnout and decreased job satisfaction.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P44,Q13_improvements,"I think pay rates should reflect the actual time and skill required, not just per-task completion. Show clear, upfront pay estimates based on average completion time, and ensure workers consistently meet or exceed minimum wage in their region.",Compensation & Economic Security,Low pay rates,below_minimum_wage,Y,Manually coded
P45,Q7_explain,"Gather the basics for each task
Time per unit: how long it takes to complete one unit/task (minutes or hours).
Pay per unit: how much you earn for one unit.
Overheads: travel, materials, software, setup, cleanup, taxes, etc. (any extra time/money you must spend beyond the core task).
Frequency/volume: how many units you can realistically complete in a given period (hour/day/week).
Payment timing/reliability: how often you’re paid and how certain the payout is (e.g., weekly direct deposit vs. after project completion).",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P45,Q10_effects,"What kinds of disturbing content people might encounter
Graphic violence or gore
Sexual content involving minors or exploitation
Abusive, hateful, or demeaning material
Realistic depictions of abuse, crime, or trauma",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech,Y,Systematically coded
P45,Q11_describe,"What I appreciate most is when a task post includes a solid, checkable brief: clear deliverables, milestones, due dates, required skills, and any constraints (budget, format, language, etc.).
When acceptance criteria are explicit, it’s much easier to know when I’ve “done enough” to get paid. I like when there’s a defined acceptance process (e.g., a client signs off after reviewing a milestone, or there’s a checklist that must be satisfied before a task is marked complete).
I’m less happy when posts are vague. If I have to guess what “done” looks like, I end up delivering something the client didn’t want, or I delay submitting work while I chase clarifications. A good platform helps by prompting the client to fill in key fields or by offering a standard template for acceptance criteria.",Transparency & QA,Positive transparency experience,unclear_criteria; clear_processes,Y,Manually coded
P45,Q12_challenges,"Ambiguity in rules and task instructions

Guidelines are often unclear or change without clear communication.
I end up guessing, which can lead to inconsistent labels and frustration when QA piping in penalties.",Transparency & QA,Positive transparency experience,unclear_processes; clear_processes,Y,Manually coded
P45,Q13_improvements,"Better data governance and bias mitigation

Independent bias audits and reporting on how labeling choices affect downstream models.
Tools to adjust or customize labeling for diversity considerations (e.g., language/region variants).
Clear expectations about how labels are used and how disagreements are resolved.",Transparency & QA,Data usage transparency,clear_processes,Y,Manually coded
P46,Q7_explain,"The tasks often take more time and effort than the payment reflects. Some tasks are straightforward, but others are complex or repetitive, and pay doesn’t always match the work involved. Payment can also be inconsistent across different tasks or projects.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P46,Q9_followup,"Occasionally, tasks are rejected due to unclear instructions, minor errors, or automated checks. Some platforms allow appeals, but the process can be slow or not always successful.",Platform Reliability & Access,Technical reliability issues,system_errors; platform_issues,N,Systematically coded
P46,Q10_effects,"I have occasionally come across content that is graphic, violent, or offensive. It can be unsettling and emotionally draining, especially if the content is particularly graphic. Some platforms provide warnings or filtering tools, but not all do, and repeated exposure can affect mood or mental energy. I try to take short breaks or step away when needed to cope with the stress.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; violent_content; work_stress; mental_impact; content_warnings,N,Systematically coded
P46,Q11_describe,"The platform provides some information about how tasks are reviewed and how payment works, but not always consistently. Sometimes it’s clear why a task is accepted or rejected, and other times the reasons are vague. Rating systems and payment rules are partially explained, but more detailed guidance would help make the process feel fairer and more predictable.",Transparency & QA,Rating system issues,rating_issues; clear_processes,Y,Manually coded
P46,Q12_challenges,"Unclear instructions, inconsistent rejections, low pay, and stressful content at times.",Compensation & Economic Security,Low pay rates,inconsistent_payment,N,Manually coded
P46,Q13_improvements,"Clear instructions, fair pay, consistent feedback, and better support for sensitive tasks.",Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P47,Q7_explain,"On Amazon MTurk, many tasks take longer than expected compared to their listed pay, making the effective hourly rate low. Some payment can feel unpredictable since some requesters reject work without clear reasons, affecting stability.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment,Y,Manually coded
P47,Q9_followup,"Yes. A few tasks were rejected without a clear explanation from the requester.
It happens rarely, and while the platform allows messaging, there’s no strong appeal process.",Platform Reliability & Access,Platform access problems,platform_issues,N,Systematically coded
P47,Q10_effects,Nothing,Content Exposure & Emotional Load,,,N,Systematically coded
P47,Q11_describe,"Task instructions are usually clear, and the payment system is straightforward once work is approved. However, the rating and rejection process could be more transparent, with better options to dispute unfair decisions.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; transparency_positive; clear_processes,Y,Manually coded
P47,Q12_challenges,"One of the biggest challenges is low and inconsistent pay compared to the time and effort required. Sometimes tasks have unclear guidelines, leading to unfair rejections and wasted work.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay; inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P47,Q13_improvements,"To make data labeling more fair and sustainable, platforms could offer clearer instructions, fair minimum pay rates, transparent rejection reasons, and better support channels for disputes.",Compensation & Economic Security,Positive compensation experience,,Y,Manually coded
P48,Q7_explain,Pay on Amazon Mechanical Turk often feels unpredictable because the time and effort required for tasks can vary greatly while payment rates don’t always reflect the work involved.,Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P48,Q9_followup,"Yes, it happened a few times when tasks were rejected without clear reasons, and although the platform allowed messaging the requester, there was no formal appeal process to guarantee payment.",Compensation & Economic Security,Effort-pay mismatch,,Y,Systematically coded
P48,Q10_effects,"I have encountered graphic and offensive content that was emotionally unsettling, and while Amazon Mechanical Turk occasionally gives content warnings, there are limited filters or support tools to help manage the impact.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings; support_available,N,Systematically coded
P48,Q11_describe,"Amazon Mechanical Turk is generally clear about payment rules and deadlines, but the criteria for task acceptance and requester ratings can be vague. The platform’s design is simple to navigate, yet it leaves workers guessing about how decisions on rejections or bonuses are made.",Transparency & QA,Opaque rejection processes,rejection_issues; unclear_criteria; rating_issues; clear_processes,Y,Manually coded
P48,Q12_challenges,"Unclear rules, unfair rejections, and low pay.",Compensation & Economic Security,Low pay rates,unfair_pay,N,Manually coded
P48,Q13_improvements,"Clear rules, fair pay, and better support.",Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P49,Q7_explain,Because effort often outweighs pay and rates are unstable.,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch,N,Manually coded
P49,Q9_followup,"Tasks rejected without reason, no real appeal.",Support & Dispute Resolution,Appeal process issues,appeal_process,N,Systematically coded
P49,Q10_effects,"Saw graphic, offensive content; unsettling; few warnings or filters.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N,Systematically coded
P49,Q11_describe,"Clear payment rules, unclear acceptance criteria.",Transparency & QA,Positive transparency experience,unclear_processes; unclear_criteria; clear_processes,N,Manually coded
P49,Q12_challenges,"Unfair rejections, low pay, unclear guidelines.",Compensation & Economic Security,Low pay rates,unfair_pay,N,Manually coded
P49,Q13_improvements,"Fair pay, clear rules, better support.",Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P50,Q7_explain,"f you’re weighing tasks, here’s a practical framework to compare them by time/effort, pay, and how predictable the pay is. It helps you decide which tasks to focus on.

Gather the basics for each task
Time per unit: how long it takes to complete one unit/task (minutes or hours).
Pay per unit: how much you earn for one unit.
Overheads: travel, materials, software, setup, cleanup, taxes, etc. (any extra time/money you must spend beyond the core task).
Frequency/volume: how many units you can realistically complete in a given period (hour/day/week).
Payment timing/reliability: how often you’re paid and how certain the payout is (e.g., weekly direct deposit vs. after project completion).",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P50,Q9_followup,"I don’t have personal experiences with platforms, so I can’t say what happened to me. But I can help you describe or document a moderation action (or draft an appeal) in a clear, useful way. Here’s a practical guide you can use.

What to include if you’re describing an incident

What happened: a content removal, a warning, a temporary suspension, a permanent ban, a feature limit, etc.
How often it happens: rarely, occasionally, sometimes, often (you can give a rough rate based on your experience).
Reason given: the exact policy or wording in the notice (e.g., “violates policy on hate speech” or “spam/duplicate content”).
How the platform handled it: content was removed, account restricted, features limited, warnings issued, time limits, policy updates, etc.
Whether you could appeal or dispute it: existence of an appeal option, steps to start an appeal, any stated timelines, and typical outcomes if you know them.
A simple template you can use",Support & Dispute Resolution,Appeal process issues,appeal_process; help_available,N,Systematically coded
P50,Q10_effects,"What people might encounter

Graphic violence or abuse
Harassment, hate speech, or threats
Sexual content involving exploitation or minors
Self-harm or suicide-related material
Manipulative scams or misinformation that causes fear
Disturbing deepfakes or emotionally triggering content
Common emotional and mental responses",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech; mental_impact,Y,Systematically coded
P50,Q11_describe,"Here’s a practical guide to assess how clear a platform is about task acceptance, rating systems, design choices, and payment rules, plus a reusable template you can apply.

Task acceptance clarity What to look for
Explicit acceptance criteria: what constitutes a valid task, required inputs, scope, and limits.
Submission requirements: how to post, what fields are required, file types, word counts, templates, and examples.
Review process: who reviews, expected timeframes, what happens after submission (approval, rejection, or requests for changes), and how feedback is delivered.
Disallowed tasks: a clear, current list of prohibited content or activities.
Re-submission rules: whether you can revise and re-submit, and under what conditions.
Status updates: how task status is communicated (e.g., submitted, under review, accepted, rejected, needs revision) and how to track progress.
Escalation and support: where to get help if a task is rejected or unclear.
What good looks like",Transparency & QA,Opaque rejection processes,unclear_processes; rejection_issues; unclear_criteria; rating_issues; feedback_issues,Y,Manually coded
P50,Q12_challenges,EMOTIONAL STRAIN,Content Exposure & Emotional Load,Mental and emotional impact,,N,Manually coded
P50,Q13_improvements,COMMUNICATION,Support & Dispute Resolution,Communication problems,communication_issues,N,Manually coded
