PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate
P41,Q11_describe,Its very clear,Transparency & QA,Positive transparency experience,clear_processes,N
P41,Q12_challenges,none,Compensation & Economic Security,Positive compensation experience,,N
P42,Q7_explain,good,Compensation & Economic Security,Positive compensation experience,,N
P42,Q12_challenges,none,Compensation & Economic Security,Positive compensation experience,,N
P43,Q11_describe,good,Transparency & QA,Positive transparency experience,clear_processes,N
P43,Q12_challenges,"One major challenge as a data annotator is dealing with vague or inconsistent guidelines, which can create confusion and lead to unfair evaluations or rejected work. Additionally, the emotional strain of labeling sensitive or disturbing content without proper support can take a serious toll over time.",Transparency & QA,Instruction clarity issues,unclear_processes,Y
P44,Q7_explain,"I think I average about  10–15 hours a week. This is my side hustle, so that's the perfect balance for me.",Compensation & Economic Security,Positive compensation experience,stable_fair_pay,Y
P44,Q9_followup,"Actually I dont know. May be my fault , or task done but time over but unable to submit the code into Mturk.",Task Design & Time Pressure,Task design challenges,time_constraints,N
P44,Q10_effects,"I think as a data labeler or content moderator, encountering disturbing or harmful content is unfortunately a common aspect of the job. The nature of the content can vary widely, but many workers have reported exposure to graphic violence, child abuse, self-harm, and other traumatic material.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,Y
P44,Q11_describe,"I think overall, many data labeling platforms exhibit low to moderate transparency regarding task review processes, compensation, and usage of workers' contributions. While some platforms are making efforts to improve, workers often face challenges related to unclear communication, inconsistent task availability, and delayed or withheld payments.",Transparency & QA,Data usage transparency,unclear_processes,Y
P44,Q12_challenges,"I think as a data annotator, several ethical challenges have emerged, reflecting broader issues in the field. One significant concern is the potential for emotional strain due to exposure to disturbing or harmful content, which can lead to psychological distress. Additionally, the lack of transparency regarding task acceptance criteria, rating systems, and payment rules can create confusion and mistrust among workers. Furthermore, the pressure to meet quotas and the absence of adequate support mechanisms can contribute to burnout and decreased job satisfaction.",Content Exposure & Emotional Load,Ethical concerns,,Y
P45,Q7_explain,"Gather the basics for each task
Time per unit: how long it takes to complete one unit/task (minutes or hours).
Pay per unit: how much you earn for one unit.
Overheads: travel, materials, software, setup, cleanup, taxes, etc. (any extra time/money you must spend beyond the core task).
Frequency/volume: how many units you can realistically complete in a given period (hour/day/week).
Payment timing/reliability: how often you're paid and how certain the payout is (e.g., weekly direct deposit vs. after project completion).",Compensation & Economic Security,General compensation issues,,Y
P45,Q10_effects,"What kinds of disturbing content people might encounter
Graphic violence or gore
Sexual content involving minors or exploitation
Abusive, hateful, or demeaning material
Realistic depictions of abuse, crime, or trauma",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech,Y
P45,Q11_describe,"What I appreciate most is when a task post includes a solid, checkable brief: clear deliverables, milestones, due dates, required skills, and any constraints (budget, format, language, etc.). When acceptance criteria are explicit, it's much easier to know when I've done enough to get paid. I like when there's a defined acceptance process. I'm less happy when posts are vague. If I have to guess what done looks like, I end up delivering something the client didn't want, or I delay submitting work while I chase clarifications. A good platform helps by prompting the client to fill in key fields or by offering a standard template for acceptance criteria.",Transparency & QA,Positive transparency experience,clear_processes,Y
P45,Q12_challenges,"Ambiguity in rules and task instructions

Guidelines are often unclear or change without clear communication.
I end up guessing, which can lead to inconsistent labels and frustration when QA piping in penalties.",Transparency & QA,Instruction clarity issues,unclear_processes,Y
P46,Q7_explain,"The tasks often take more time and effort than the payment reflects. Some tasks are straightforward, but others are complex or repetitive, and pay doesn’t always match the work involved. Payment can also be inconsistent across different tasks or projects.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y
P46,Q9_followup,"Occasionally, tasks are rejected due to unclear instructions, minor errors, or automated checks. Some platforms allow appeals, but the process can be slow or not always successful.",Support & Dispute Resolution,Appeal process issues,appeal_process,N
P46,Q10_effects,"I have occasionally come across content that is graphic, violent, or offensive. It can be unsettling and emotionally draining, especially if the content is particularly graphic. Some platforms provide warnings or filtering tools, but not all do, and repeated exposure can affect mood or mental energy. I try to take short breaks or step away when needed to cope with the stress.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; violent_content; work_stress; mental_impact; content_warnings,N
P46,Q11_describe,"The platform provides some information about how tasks are reviewed and how payment works, but not always consistently. Sometimes it's clear why a task is accepted or rejected, and other times the reasons are vague. Rating systems and payment rules are partially explained, but more detailed guidance would help make the process feel fairer and more predictable.",Transparency & QA,Rating system issues,rating_issues,Y
P46,Q12_challenges,"Unclear instructions, inconsistent rejections, low pay, and stressful content at times.",Transparency & QA,General transparency issues,unclear_processes,N
P47,Q7_explain,"On Amazon MTurk, many tasks take longer than expected compared to their listed pay, making the effective hourly rate low. Some payment can feel unpredictable since some requesters reject work without clear reasons, affecting stability.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment,Y
P47,Q9_followup,"Yes. A few tasks were rejected without a clear explanation from the requester.
It happens rarely, and while the platform allows messaging, there's no strong appeal process.",Support & Dispute Resolution,Appeal process issues,appeal_process,N
P47,Q10_effects,Nothing,Content Exposure & Emotional Load,Positive content experience,,N
P47,Q11_describe,"Task instructions are usually clear, and the payment system is straightforward once work is approved. However, the rating and rejection process could be more transparent, with better options to dispute unfair decisions.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues,Y
P47,Q12_challenges,"One of the biggest challenges is low and inconsistent pay compared to the time and effort required. Sometimes tasks have unclear guidelines, leading to unfair rejections and wasted work.",Transparency & QA,General transparency issues,unclear_processes,Y
P48,Q7_explain,Pay on Amazon Mechanical Turk often feels unpredictable because the time and effort required for tasks can vary greatly while payment rates don’t always reflect the work involved.,Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y
P48,Q9_followup,"Yes, it happened a few times when tasks were rejected without clear reasons, and although the platform allowed messaging the requester, there was no formal appeal process to guarantee payment.",Support & Dispute Resolution,Appeal process issues,appeal_process,Y
P48,Q10_effects,"I have encountered graphic and offensive content that was emotionally unsettling, and while Amazon Mechanical Turk occasionally gives content warnings, there are limited filters or support tools to help manage the impact.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings; support_available,N
P48,Q11_describe,"Amazon Mechanical Turk is generally clear about payment rules and deadlines, but the criteria for task acceptance and requester ratings can be vague. The platform's design is simple to navigate, yet it leaves workers guessing about how decisions on rejections or bonuses are made.",Transparency & QA,Opaque rejection processes,rejection_issues; unclear_criteria; rating_issues,Y
P48,Q12_challenges,"Unclear rules, unfair rejections, and low pay.",Transparency & QA,General transparency issues,unclear_processes,N
P49,Q7_explain,Because effort often outweighs pay and rates are unstable.,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch,N
P49,Q9_followup,"Tasks rejected without reason, no real appeal.",Support & Dispute Resolution,Appeal process issues,appeal_process,N
P49,Q10_effects,"Saw graphic, offensive content; unsettling; few warnings or filters.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N
P49,Q11_describe,"Clear payment rules, unclear acceptance criteria.",Transparency & QA,General transparency issues,unclear_processes; unclear_criteria,N
P49,Q12_challenges,"Unfair rejections, low pay, unclear guidelines.",Transparency & QA,General transparency issues,unclear_processes,N
P50,Q7_explain,"f you're weighing tasks, here's a practical framework to compare them by time/effort, pay, and how predictable the pay is. It helps you decide which tasks to focus on.

Gather the basics for each task
Time per unit: how long it takes to complete one unit/task (minutes or hours).
Pay per unit: how much you earn for one unit.
Overheads: travel, materials, software, setup, cleanup, taxes, etc. (any extra time/money you must spend beyond the core task).
Frequency/volume: how many units you can realistically complete in a given period (hour/day/week).
Payment timing/reliability: how often you're paid and how certain the payout is (e.g., weekly direct deposit vs. after project completion).",Compensation & Economic Security,General compensation issues,,Y
P50,Q9_followup,"I don’t have personal experiences with platforms, so I can’t say what happened to me. But I can help you describe or document a moderation action (or draft an appeal) in a clear, useful way. Here’s a practical guide you can use.

What to include if you’re describing an incident

What happened: a content removal, a warning, a temporary suspension, a permanent ban, a feature limit, etc.
How often it happens: rarely, occasionally, sometimes, often (you can give a rough rate based on your experience).
Reason given: the exact policy or wording in the notice (e.g., “violates policy on hate speech” or “spam/duplicate content”).
How the platform handled it: content was removed, account restricted, features limited, warnings issued, time limits, policy updates, etc.
Whether you could appeal or dispute it: existence of an appeal option, steps to start an appeal, any stated timelines, and typical outcomes if you know them.
A simple template you can use",Support & Dispute Resolution,Appeal process issues,appeal_process; help_available,N
P50,Q10_effects,"What people might encounter

Graphic violence or abuse
Harassment, hate speech, or threats
Sexual content involving exploitation or minors
Self-harm or suicide-related material
Manipulative scams or misinformation that causes fear
Disturbing deepfakes or emotionally triggering content
Common emotional and mental responses",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech; mental_impact,Y
P50,Q11_describe,"Here’s a practical guide to assess how clear a platform is about task acceptance, rating systems, design choices, and payment rules, plus a reusable template you can apply.

Task acceptance clarity What to look for
Explicit acceptance criteria: what constitutes a valid task, required inputs, scope, and limits.
Submission requirements: how to post, what fields are required, file types, word counts, templates, and examples.
Review process: who reviews, expected timeframes, what happens after submission (approval, rejection, or requests for changes), and how feedback is delivered.
Disallowed tasks: a clear, current list of prohibited content or activities.
Re-submission rules: whether you can revise and re-submit, and under what conditions.
Status updates: how task status is communicated (e.g., submitted, under review, accepted, rejected, needs revision) and how to track progress.
Escalation and support: where to get help if a task is rejected or unclear.
What good looks like",Transparency & QA,Opaque rejection processes,unclear_processes; rejection_issues; unclear_criteria; rating_issues; feedback_issues,Y
P50,Q12_challenges,EMOTIONAL STRAIN,Content Exposure & Emotional Load,Mental and emotional impact,,N
